Phase,AgentID,Starting Room Name,Starting Node,Room Name,Path,Agent Type,Environmental Preference,Circulation Preference,Spatial Preference,Target Normalized Degree Centrality,Target Normalized Closeness Centrality,Target Normalized Betweenness Centrality,Target Normalized PageRank,Target Normalized Clustering,Target Normalized Core Number,Target Normalized Circulation Index,Target Normalized Occupancy,Target Normalized Isovist Area,Target Normalized Perimeter,Target Normalized Compactness,Target Normalized Circularity,Target Normalized Convex Deficiency,Target Normalized Occlusivity,Target Normalized Skewness,Target Normalized Dispersion,Target Normalized Elongation,Target Normalized Incident Radiation,Target Normalized Sunlight Hours,Target Normalized Daylight Factor,Target Normalized Standard Effective Temperature,Target Normalized Predicted Mean Vote,Target Normalized Comfort Acceptance,Target Normalized Subject Condition,Toilet Break Interval,Cafe Break Intervals,Environmental Average,Circulation Average,Spatial Average,Dominant Preference,Target Node Index,Target Node Name
2,312,AUDITORIUM,166,HUDDLE,,Student,0.5038167938931297,0.3053435114503817,0.1908396946564885,0.66,0.29,0.99,0.8,0.32,0.34,0.76,0.33,0.85,0.31,0.67,0.12,0.77,0.15,0.11,0.61,0.81,0.16,0.18,0.49,0.81,0.94,0.84,0.29,0.71,0.7,0.53,0.5943,0.4488,Environmental Preference,140,SEMINAR
2,313,ADMIN CORR.,414,MAKERSPACE MEDIA LAB,,Student,0.2564102564102564,0.2884615384615384,0.455128205128205,0.21,0.74,0.27,0.93,0.32,0.71,0.03,0.07,0.95,0.65,0.19,0.76,0.09,0.36,0.63,0.17,0.41,0.85,0.3,0.2,0.92,0.18,0.9,0.82,0.67,0.47,0.5957,0.4586,0.475,Spatial Preference,70,ELEVATOR
2,314,ADMIN CORR.,431,COLLAB HUB,,Student,0.1304347826086956,0.2173913043478261,0.6521739130434784,0.27,0.37,0.73,0.07,0.34,0.85,0.32,0.77,0.5,0.43,0.98,0.14,0.75,0.08,0.35,0.47,0.77,0.64,0.44,0.68,0.04,0.71,0.49,0.48,0.69,0.21,0.4971,0.4214,0.4625,Spatial Preference,159,WORKROOM/STORAGE
2,315,SEMINAR,249,CLASSROOM,,Student,0.4835164835164836,0.1373626373626373,0.3791208791208791,0.14,0.37,0.11,0.84,0.33,0.16,0.95,0.68,0.33,0.76,0.88,0.48,0.94,0.67,0.71,0.73,0.38,0.54,0.87,0.05,0.99,0.65,0.74,0.46,0.8,0.82,0.6143,0.4143,0.6875,Environmental Preference,291,HUDDLE
2,316,SEMINAR,264,PEDIATRIC CLASS LAB,,Student,0.2334801762114537,0.3303964757709251,0.4361233480176211,0.31,0.74,0.74,0.53,0.37,0.67,0.99,0.33,0.87,0.57,0.35,0.65,0.48,0.74,0.94,0.61,0.89,0.06,0.78,0.78,0.58,0.08,0.12,0.59,0.87,0.93,0.4271,0.6214,0.6512,Spatial Preference,9,BUILDING LOBBY
2,317,EAST ATRIUM,261,RESEARCH,,Student,0.032051282051282,0.5769230769230769,0.391025641025641,0.68,0.15,0.23,0.2,0.91,0.83,0.47,0.73,0.75,0.46,0.86,0.24,0.55,0.3,0.72,0.45,0.9,0.87,0.49,0.69,0.14,0.92,0.3,0.4,0.02,0.16,0.5443,0.4957,0.5412,Circulation Preference,400,ADMIN CORR.
2,318,STAIR,34,CLASSROOM,,Student,0.6666666666666666,0.054421768707483,0.2789115646258503,0.93,0.76,0.31,0.28,0.42,0.38,0.97,0.28,0.02,0.84,0.87,0.74,0.12,0.57,0.93,0.83,0.02,0.77,0.17,0.5,0.06,0.64,0.74,0.61,0.22,0.84,0.4986,0.5786,0.615,Environmental Preference,40,STUDENT SEATING
2,319,PUBLIC CORR.,430,HUDDLE,,Student,0.1077844311377245,0.3473053892215569,0.5449101796407186,0.11,0.43,0.22,0.44,0.19,0.53,0.54,0.02,0.7,0.87,0.88,0.68,0.36,0.61,0.25,0.05,0.41,0.14,0.72,0.93,0.71,0.0,0.53,0.19,0.68,0.77,0.46,0.3514,0.55,Spatial Preference,9,BUILDING LOBBY
2,320,EAST ATRIUM,211,COLLAB,,Student,0.3826530612244898,0.4336734693877551,0.1836734693877551,0.35,0.74,0.18,0.13,0.07,0.15,0.82,0.55,0.1,0.97,0.93,0.28,0.87,0.42,0.33,0.35,0.19,0.51,0.21,0.85,0.0,0.62,0.41,0.17,0.9,0.98,0.3957,0.3486,0.5312,Circulation Preference,606,PATIENT UNIT CORRIDOR
2,321,PUBLIC CORR.,262,RESEARCH,,Student,0.3448275862068966,0.2857142857142857,0.3694581280788178,0.34,0.36,0.97,0.19,0.21,0.72,0.46,0.11,0.51,0.1,0.12,0.57,0.59,0.58,0.43,0.77,0.42,0.11,0.07,0.47,0.41,0.29,0.68,0.32,0.85,0.67,0.3357,0.4643,0.4588,Spatial Preference,209,EAST ATRIUM
2,322,EAST ATRIUM,81,COMPUTER CLASSROOM,,Student,0.1,0.7,0.2,0.29,0.33,0.62,0.27,0.42,0.78,0.31,0.12,0.82,0.77,0.57,0.27,0.81,0.51,0.18,0.36,0.57,0.6,0.22,0.1,0.76,0.69,0.47,0.54,0.87,0.47,0.4829,0.4314,0.5362,Circulation Preference,619,ADMIN CORR.
2,323,STAIR,106,RESEARCH,,Student,0.5957446808510638,0.2056737588652482,0.1985815602836879,0.88,0.05,0.63,0.59,0.23,0.73,0.74,0.01,0.81,0.22,0.88,0.24,0.65,0.4,0.62,0.57,0.93,0.84,0.35,0.72,0.5,0.51,0.47,0.13,0.11,0.01,0.5029,0.55,0.5488,Environmental Preference,40,STUDENT SEATING
2,324,STAIR 01,77,CLASSROOM,,Student,0.5512820512820512,0.0,0.4487179487179487,0.45,0.72,0.79,0.89,0.58,0.87,0.38,0.14,0.93,0.56,0.07,0.97,0.7,0.61,0.89,0.17,0.92,0.16,0.19,0.92,0.66,0.54,0.55,0.11,0.26,0.21,0.4471,0.6686,0.6125,Environmental Preference,25,HK STORAGE
2,325,ADMIN CORRIDOR,227,COLLAB,,Student,0.3660130718954248,0.5228758169934641,0.1111111111111111,0.1,0.39,0.05,0.26,0.03,0.49,0.24,0.91,0.35,0.62,0.62,0.24,0.65,0.28,0.02,0.13,0.19,0.02,0.4,0.57,0.24,0.07,0.12,0.9,0.9,0.23,0.3314,0.2229,0.3637,Circulation Preference,41,PANTRY
2,326,EAST ATRIUM,439,COLLAB HUB,,Student,0.0547945205479452,0.821917808219178,0.1232876712328767,0.25,0.18,0.2,0.42,0.6,0.26,0.73,0.45,0.97,0.7,0.63,0.36,0.76,0.15,0.9,0.52,0.05,0.06,0.01,0.4,0.84,0.33,0.84,0.32,0.61,0.03,0.4,0.3771,0.6238,Circulation Preference,433,HUDDLE
2,327,EXAM SUITE CORRIDOR,250,ADL CLASS LAB,,Student,0.2063492063492063,0.4603174603174603,0.3333333333333333,0.56,0.34,0.92,0.97,0.01,0.14,0.25,0.47,0.6,0.61,0.88,0.24,0.32,0.89,0.74,0.19,0.58,0.05,0.95,0.46,0.39,0.57,0.16,0.53,0.49,0.69,0.4443,0.4557,0.5588,Circulation Preference,585,PATIENT UNIT CORRIDOR
2,328,AUDITORIUM,99,CLASSROOM,,Student,0.1266968325791855,0.4343891402714932,0.4389140271493212,0.1,0.44,0.18,0.37,0.75,0.85,0.82,0.65,0.53,0.91,0.99,0.5,0.39,0.05,0.77,0.68,0.34,0.14,0.43,0.26,0.51,0.8,0.46,0.94,0.96,0.64,0.5057,0.5014,0.6025,Spatial Preference,9,BUILDING LOBBY
2,329,EAST ATRIUM,78,DIAGNOSTIC CLASS LAB,,Student,0.4285714285714285,0.0114285714285714,0.5599999999999999,0.38,0.22,0.89,0.44,0.4,0.47,0.79,0.79,0.43,0.8,0.72,0.52,0.18,0.06,0.5,0.54,0.58,0.13,0.11,0.06,0.81,0.65,0.54,0.33,0.97,0.11,0.3757,0.5129,0.4688,Spatial Preference,257,ANATOMY / SPEECH STORAGE
2,330,PUBLIC CORR.,429,HUDDLE,,Student,0.2477064220183486,0.018348623853211,0.7339449541284404,0.43,0.12,0.27,0.42,0.4,0.09,0.17,0.34,0.64,0.25,0.2,0.88,1.0,0.8,0.63,0.5,0.37,0.12,0.7,0.18,0.44,0.55,0.4,0.81,0.9,0.17,0.4571,0.2714,0.6125,Spatial Preference,9,BUILDING LOBBY
2,331,AUDITORIUM,249,CLASSROOM,,Student,0.5494505494505495,0.1153846153846153,0.3351648351648352,0.01,0.48,0.42,0.22,0.52,0.11,0.78,0.79,0.57,0.14,0.67,0.25,0.83,0.58,0.52,0.47,0.64,0.43,0.71,0.8,0.29,0.84,0.75,0.49,0.74,0.36,0.6157,0.3629,0.5038,Environmental Preference,291,HUDDLE
2,332,AUDITORIUM,154,HUDDLE,,Student,0.2372881355932203,0.2372881355932203,0.5254237288135593,0.2,0.36,0.4,0.19,0.07,0.71,0.1,0.18,0.5,0.12,0.62,0.95,0.05,0.94,0.38,0.88,0.73,0.89,0.24,0.2,0.66,0.91,0.91,0.58,0.48,0.4,0.6271,0.29,0.555,Spatial Preference,9,BUILDING LOBBY
2,333,PUBLIC CORR.,82,COMPUTER CLASSROOM,,Student,0.426605504587156,0.444954128440367,0.1284403669724771,0.36,0.88,0.22,0.39,0.08,0.69,0.01,0.9,0.63,0.02,0.05,0.7,0.64,0.66,0.03,0.98,0.71,0.65,0.1,0.91,0.11,0.2,0.82,0.21,0.31,0.13,0.4286,0.3757,0.4638,Circulation Preference,433,HUDDLE
2,334,BUILDING LOBBY,227,COLLAB,,Student,0.1789473684210526,0.5263157894736842,0.2947368421052632,0.58,0.5,0.31,0.83,0.84,0.85,0.0,0.52,0.75,0.35,0.2,0.41,0.83,0.41,0.32,0.35,0.45,0.84,0.08,0.21,0.19,0.29,0.29,0.32,0.07,0.31,0.3171,0.5586,0.4525,Circulation Preference,600,PUBLIC CORR.
2,335,AUDITORIUM,490,COLLAB,,Student,0.2311827956989247,0.2473118279569892,0.521505376344086,0.24,0.4,0.05,0.68,0.45,0.53,0.58,0.82,0.47,0.21,0.55,0.16,0.63,0.01,0.77,0.62,0.57,0.16,0.1,0.69,0.66,0.82,0.97,0.1,0.69,0.85,0.5,0.4186,0.4275,Spatial Preference,545,SUPPLY/EQUIPMENT STORAGE
2,336,ADMIN CORR.,250,ADL CLASS LAB,,Student,0.1568627450980392,0.4183006535947712,0.4248366013071895,0.97,0.5,0.59,0.98,0.71,0.61,0.29,0.35,0.07,0.18,0.65,0.55,0.37,0.78,0.94,0.25,0.79,0.86,0.41,0.7,0.01,0.8,0.08,0.6,0.99,0.49,0.4943,0.6643,0.4738,Spatial Preference,26,STAIR
2,337,PUBLIC CORR.,36,CLASSROOM,,Student,0.4583333333333333,0.125,0.4166666666666667,0.38,0.82,0.48,0.13,0.17,0.03,0.32,0.93,0.6,0.87,0.61,0.44,0.88,0.72,0.82,0.42,0.3,0.44,0.33,0.97,0.1,0.06,0.99,0.14,0.18,0.58,0.4329,0.3329,0.67,Environmental Preference,25,HK STORAGE
2,338,STAIR 04,430,HUDDLE,,Student,0.4098360655737705,0.0710382513661202,0.5191256830601092,0.33,0.58,0.45,0.43,0.91,0.73,0.96,0.35,0.47,0.62,0.28,0.11,0.06,0.51,0.46,0.94,0.92,0.52,0.99,0.6,0.41,0.23,0.64,0.11,0.46,0.24,0.5,0.6271,0.4312,Spatial Preference,10,ELEVATOR
2,339,STAIR 02,419,SKILLS LAB STORAGE,,Student,0.3413461538461538,0.3846153846153846,0.2740384615384615,0.82,0.04,0.93,0.67,0.04,0.23,0.21,0.15,0.58,0.63,0.49,0.04,0.89,0.42,0.26,0.76,0.48,0.69,0.05,0.71,0.23,0.55,0.27,0.27,0.14,0.51,0.3957,0.42,0.5087,Circulation Preference,380,PUBLIC (ENTRY)
2,340,EAST ATRIUM,414,MAKERSPACE MEDIA LAB,,Student,0.3012048192771085,0.3433734939759036,0.355421686746988,0.81,0.47,0.27,0.4,0.27,0.33,0.17,0.49,0.59,0.95,0.98,0.26,0.22,0.1,0.98,0.08,0.5,0.57,0.44,0.15,0.04,0.17,0.69,0.56,0.45,0.29,0.3743,0.3886,0.52,Spatial Preference,9,BUILDING LOBBY
2,341,AUDITORIUM,80,CLASSROOM,,Student,0.1947368421052631,0.4736842105263158,0.3315789473684211,0.99,0.55,0.27,0.4,0.52,0.13,0.77,0.6,0.61,0.73,0.22,0.76,0.51,0.05,0.53,0.09,0.69,1.0,0.09,0.69,0.45,0.97,0.55,0.81,0.78,0.43,0.6514,0.5186,0.4375,Circulation Preference,234,ADMIN CORR.
2,342,EAST ATRIUM,250,ADL CLASS LAB,,Student,0.390625,0.4531249999999999,0.15625,0.53,0.99,0.69,0.2,0.89,0.29,0.64,0.84,0.29,0.71,0.19,0.91,0.39,0.12,0.05,0.35,0.3,0.85,0.1,0.62,0.22,0.97,0.94,0.42,0.25,0.86,0.5886,0.6043,0.3763,Circulation Preference,413,STORAGE
2,343,PUBLIC CORR.,260,RESEARCH,,Student,0.4880952380952381,0.3214285714285714,0.1904761904761905,0.83,0.76,0.06,0.53,0.63,0.2,0.95,0.61,0.57,0.93,0.41,0.39,0.19,0.27,0.24,0.52,0.2,0.31,0.57,0.36,0.97,0.63,0.27,0.68,0.3,0.61,0.5414,0.5657,0.44,Environmental Preference,598,STAIR 01
2,344,STAIR 04,108,RESEARCH,,Student,0.0166666666666666,0.275,0.7083333333333334,0.73,0.04,0.64,0.46,0.91,0.83,0.3,0.31,0.07,0.57,0.05,0.75,0.19,0.26,0.34,0.11,0.16,0.49,0.81,0.02,0.69,0.04,0.1,0.25,0.84,0.11,0.3429,0.5586,0.2925,Spatial Preference,349,ADMIN CORR.
2,345,PUBLIC CORR.,84,CLASSROOM (30),,Student,0.360759493670886,0.4113924050632911,0.2278481012658227,0.89,0.11,0.74,0.57,0.51,0.78,0.5,0.65,0.13,0.22,0.79,0.97,0.51,0.88,0.5,0.94,0.74,0.84,0.97,0.6,0.8,0.91,0.76,0.94,0.26,0.19,0.8314,0.5857,0.6175,Circulation Preference,233,ADMIN CORR.
2,346,WEST ATRIUM,58,CLASSROOM STORAGE,,Student,0.3623853211009174,0.4449541284403669,0.1926605504587155,0.24,0.16,0.92,0.29,0.76,0.45,0.04,0.56,0.49,0.65,0.99,0.87,0.95,0.87,0.84,0.01,0.2,0.55,0.84,0.63,0.84,0.91,0.03,0.19,0.22,0.66,0.57,0.4086,0.7088,Circulation Preference,380,PUBLIC (ENTRY)
2,347,EAST ATRIUM,414,MAKERSPACE MEDIA LAB,,Student,0.4381443298969072,0.4845360824742268,0.0773195876288659,0.36,0.89,0.48,0.44,0.77,0.03,0.53,0.95,0.04,0.4,0.99,0.57,0.33,0.52,0.88,0.97,0.63,0.86,0.75,0.96,0.29,0.55,0.94,0.83,0.49,0.89,0.74,0.5,0.5875,Circulation Preference,400,ADMIN CORR.
2,348,PUBLIC CORR,78,DIAGNOSTIC CLASS LAB,,Student,0.3798076923076923,0.4567307692307692,0.1634615384615384,0.72,0.98,0.33,0.95,0.78,1.0,0.41,0.63,0.87,0.31,0.76,0.42,0.95,0.96,0.81,0.04,0.83,0.31,0.22,0.76,0.46,0.8,0.58,0.24,0.88,0.85,0.4814,0.7386,0.64,Circulation Preference,436,PUBLIC CORR
2,349,SEMINAR,154,HUDDLE,,Student,0.291139240506329,0.3417721518987341,0.3670886075949366,0.85,0.75,0.69,0.57,0.44,0.56,0.22,0.92,0.23,0.51,0.3,0.64,0.9,0.8,0.39,0.99,0.27,0.83,0.1,0.11,0.98,0.42,0.31,0.69,0.75,0.13,0.4914,0.5829,0.595,Spatial Preference,9,BUILDING LOBBY
2,350,PUBLIC (STAIR),212,DIAGNOSTIC CLASS LAB STORAGE,,Student,0.1078431372549019,0.8627450980392157,0.0294117647058823,0.97,0.62,0.86,0.4,0.53,0.94,0.5,0.8,0.29,0.89,0.09,0.68,0.53,0.83,0.75,0.25,0.74,0.88,0.29,0.76,0.63,0.87,0.6,0.84,0.15,0.83,0.6957,0.6886,0.5388,Circulation Preference,231,PUBLIC CORR.
2,351,EAST ATRIUM,166,HUDDLE,,Student,0.423469387755102,0.3061224489795918,0.2704081632653061,0.52,0.42,0.56,0.89,1.0,0.09,0.51,0.28,0.52,0.74,0.83,0.76,0.87,0.91,0.95,0.31,0.18,0.48,0.49,0.21,0.1,0.9,0.08,0.8,0.64,0.17,0.4371,0.57,0.7362,Environmental Preference,25,HK STORAGE
2,352,EAST ATRIUM,81,COMPUTER CLASSROOM,,Student,0.5180722891566265,0.2228915662650602,0.2590361445783132,0.28,0.58,0.5,0.87,0.1,0.89,0.66,0.33,0.25,0.13,0.6,0.61,0.57,0.93,0.52,0.27,0.19,0.5,0.49,0.25,0.28,0.65,0.55,0.79,0.78,0.79,0.5014,0.5543,0.485,Environmental Preference,40,STUDENT SEATING
2,353,EAST ATRIUM,211,COLLAB,,Student,0.1538461538461538,0.0128205128205128,0.8333333333333334,0.09,0.01,0.73,0.96,0.39,0.57,0.15,0.58,0.19,0.7,0.53,0.23,0.27,0.29,0.03,0.47,0.34,0.88,0.68,0.79,0.96,0.77,0.86,0.65,0.78,0.7,0.7986,0.4143,0.3388,Spatial Preference,233,ADMIN CORR.
2,354,ADMIN CORR.,252,CLASSROOM,,Student,0.4921465968586387,0.4136125654450262,0.094240837696335,0.99,0.35,0.91,0.24,0.44,0.41,0.07,0.66,0.36,0.94,0.61,0.62,0.96,0.15,1.0,0.32,0.14,0.2,0.95,0.63,0.44,0.6,0.42,0.97,0.09,0.66,0.6014,0.4871,0.62,Environmental Preference,9,BUILDING LOBBY
2,355,EAST ATRIUM,82,COMPUTER CLASSROOM,,Student,0.4345794392523364,0.411214953271028,0.1542056074766355,0.35,0.53,0.17,0.78,0.88,0.2,0.55,0.66,0.22,0.29,0.97,0.61,0.96,0.72,0.47,0.03,0.18,0.54,0.98,0.93,0.84,0.44,0.71,0.46,0.07,0.85,0.7,0.4943,0.5337,Environmental Preference,377,PUBLIC (STAIR)
2,356,PUBLIC (STAIR),264,PEDIATRIC CLASS LAB,,Student,0.0377358490566037,0.5283018867924528,0.4339622641509434,0.91,0.09,0.88,0.8,0.18,0.39,0.02,0.09,0.96,0.1,0.89,0.3,0.35,0.85,0.83,0.04,0.21,0.77,0.62,0.57,0.84,0.15,0.85,0.18,0.99,0.23,0.5686,0.4671,0.54,Circulation Preference,53,EAST ATRIUM
2,357,ADMIN CORR.,290,HUDDLE,,Student,0.1372549019607843,0.3790849673202615,0.4836601307189543,0.99,0.45,0.84,0.38,0.43,0.03,0.87,0.5,0.77,0.79,0.2,0.56,0.71,0.61,0.38,0.3,0.51,0.41,0.23,0.36,0.93,0.87,0.81,0.84,0.92,0.46,0.6357,0.57,0.54,Spatial Preference,9,BUILDING LOBBY
2,358,ADMIN CORR.,255,ANATOMY CLASS LAB,,Student,0.6792452830188679,0.0566037735849056,0.2641509433962264,0.76,0.67,0.22,0.43,0.49,0.37,0.55,0.24,0.54,0.33,0.17,0.22,0.02,0.49,0.69,0.9,0.53,0.99,0.65,0.96,0.4,0.24,0.34,0.81,0.22,0.74,0.6271,0.4986,0.42,Environmental Preference,490,HUDDLE
2,359,EAST ATRIUM,154,HUDDLE,,Student,0.4142857142857142,0.4380952380952381,0.1476190476190476,0.34,0.67,0.3,0.81,0.95,0.79,0.73,0.25,0.58,0.74,0.98,0.2,0.15,0.86,0.69,0.08,0.12,0.98,0.28,0.06,0.28,0.15,0.72,0.42,0.95,0.39,0.4129,0.6557,0.535,Circulation Preference,237,STORAGE
2,360,STUDENT COLLABORATION,35,AUDITORIUM,,Student,0.3508771929824562,0.2631578947368421,0.3859649122807018,0.8,0.48,0.0,0.4,0.86,0.82,0.55,0.03,0.61,0.87,0.47,0.46,0.39,0.53,0.25,0.55,0.56,0.69,0.61,0.9,0.47,0.86,0.39,0.45,0.98,0.07,0.6243,0.5586,0.5162,Spatial Preference,9,BUILDING LOBBY
2,361,ADMIN CORR.,211,COLLAB,,Student,0.3271889400921658,0.3179723502304147,0.3548387096774194,0.13,0.81,0.49,0.89,0.37,0.96,0.37,0.18,0.94,0.45,0.95,0.65,0.74,0.42,0.88,0.93,0.18,0.09,0.22,0.77,0.7,0.13,0.93,0.44,0.48,0.42,0.4686,0.5743,0.745,Spatial Preference,9,BUILDING LOBBY
2,362,EAST ATRIUM,431,COLLAB HUB,,Student,0.268041237113402,0.4948453608247423,0.2371134020618557,0.45,0.16,0.44,0.62,0.52,0.49,0.2,0.99,0.74,0.79,0.2,0.42,0.25,0.62,0.21,0.14,0.6,0.79,0.55,0.13,0.04,0.11,0.79,0.04,0.69,0.63,0.35,0.4114,0.4212,Circulation Preference,380,PUBLIC (ENTRY)
2,363,PUBLIC CORR.,38,CLASSROOM,,Student,0.3999999999999999,0.18,0.42,0.86,0.44,0.67,0.43,0.81,0.15,0.51,0.4,0.89,0.23,0.05,0.68,0.02,0.28,0.2,0.96,0.61,0.33,0.64,0.16,0.34,0.92,0.49,0.09,0.81,0.91,0.4243,0.5529,0.4138,Spatial Preference,421,MAKER SPACE STORAGE
2,364,BUILDING LOBBY,290,HUDDLE,,Student,0.2967032967032967,0.4395604395604395,0.2637362637362637,0.12,0.58,0.5,0.77,0.59,0.49,0.09,0.52,0.08,0.06,0.88,0.61,0.62,0.8,0.23,0.27,0.29,0.54,0.88,0.59,0.17,0.27,0.6,0.17,0.28,0.85,0.46,0.4486,0.4438,Circulation Preference,619,ADMIN CORR.
2,365,VESTIBULE,253,CLASSROOM,,Student,0.5081967213114755,0.3934426229508196,0.0983606557377049,0.12,0.19,0.43,0.51,0.98,0.73,0.89,0.74,0.04,0.95,0.86,0.25,0.03,0.12,0.61,0.32,0.31,0.75,0.02,0.64,0.39,0.16,0.98,0.71,0.17,0.13,0.5214,0.55,0.3975,Environmental Preference,423,SEMINAR
2,366,PREFUNCTION,429,HUDDLE,,Student,0.4202898550724637,0.5217391304347826,0.0579710144927536,0.37,0.98,0.26,0.92,0.36,0.06,0.56,0.51,0.76,0.71,0.52,0.99,0.07,0.14,0.14,0.7,0.74,0.71,0.68,0.85,0.39,0.69,0.53,0.12,0.88,0.76,0.5671,0.5014,0.5038,Circulation Preference,583,EXAM SUITE CORRIDOR
2,367,ADMIN CORR.,227,COLLAB,,Student,0.3088803088803089,0.3667953667953668,0.3243243243243243,0.6,0.14,0.36,0.8,0.62,0.42,0.68,0.35,0.89,0.15,0.17,0.71,0.94,0.73,0.37,0.07,0.85,0.68,0.72,0.34,0.63,0.72,0.61,0.78,0.58,0.86,0.64,0.5171,0.5038,Circulation Preference,234,ADMIN CORR.
2,368,EAST ATRIUM,267,RESEARCH,,Student,0.7164179104477612,0.0522388059701492,0.2313432835820895,0.82,0.85,0.97,0.81,0.26,0.85,0.39,0.87,0.71,0.09,0.92,0.21,0.32,0.16,0.83,0.78,0.58,0.3,0.99,0.24,0.79,0.26,0.57,0.94,0.69,0.62,0.5843,0.7071,0.5025,Environmental Preference,583,EXAM SUITE CORRIDOR
2,369,ADMIN CORR.,249,CLASSROOM,,Student,0.5148514851485149,0.0,0.4851485148514851,0.48,0.16,0.54,0.9,0.01,0.98,0.83,0.79,0.1,0.7,0.27,0.05,0.55,0.56,0.35,0.03,0.13,0.7,0.95,0.18,0.73,0.29,0.69,0.74,0.38,0.53,0.6114,0.5571,0.3262,Environmental Preference,291,HUDDLE
2,370,ADMIN CORR.,249,CLASSROOM,,Student,0.6547619047619048,0.2619047619047618,0.0833333333333333,0.36,0.14,0.77,0.35,0.64,0.96,0.13,0.47,0.3,0.92,0.92,0.92,0.93,0.98,0.19,0.52,0.28,0.7,0.56,0.17,0.86,0.52,0.77,0.86,0.85,0.41,0.6343,0.4786,0.71,Environmental Preference,173,HUDDLE
2,371,PUBLIC CORR,439,COLLAB HUB,,Student,0.0701754385964912,0.543859649122807,0.3859649122807018,0.37,0.31,0.4,0.25,0.93,0.68,0.83,0.8,0.87,0.96,0.74,0.97,0.97,0.21,0.02,0.48,0.17,0.22,0.29,0.28,0.1,0.14,0.06,0.66,1.0,0.69,0.25,0.5386,0.6525,Circulation Preference,600,PUBLIC CORR.
2,372,EAST ATRIUM,260,RESEARCH,,Student,0.0485436893203883,0.4174757281553398,0.5339805825242718,0.7,0.19,1.0,0.34,0.6,0.67,0.73,0.05,0.18,0.78,0.48,0.95,0.15,0.97,0.7,0.84,0.67,0.02,0.59,0.3,0.01,0.87,0.41,0.79,0.79,0.28,0.4271,0.6043,0.6312,Spatial Preference,9,BUILDING LOBBY
2,373,EAST ATRIUM,260,RESEARCH,,Student,0.2564102564102564,0.0641025641025641,0.6794871794871795,0.91,0.54,0.17,0.86,0.42,0.23,0.18,0.38,0.28,0.8,0.19,0.12,0.69,0.03,0.69,0.53,0.55,0.98,0.03,0.3,0.35,0.53,0.05,0.54,0.83,0.04,0.3971,0.4729,0.4162,Spatial Preference,421,MAKER SPACE STORAGE
2,374,AUDITORIUM,81,COMPUTER CLASSROOM,,Student,0.0240963855421686,0.3855421686746987,0.5903614457831324,0.47,0.78,0.75,0.16,0.03,0.71,0.64,0.55,0.98,0.04,0.39,0.38,0.7,0.33,1.0,0.21,0.53,0.33,0.45,0.78,0.29,0.25,0.6,0.4,0.5,0.07,0.4429,0.5057,0.5038,Spatial Preference,268,SEMINAR
2,375,STAIR 01,439,COLLAB HUB,,Student,0.4227272727272727,0.3,0.2772727272727272,0.93,0.7,0.2,0.87,0.95,0.37,0.35,0.78,0.72,0.82,0.91,0.2,0.87,0.34,0.55,0.36,0.79,0.95,0.66,0.78,0.1,0.55,0.12,0.93,0.57,0.02,0.5843,0.6243,0.5963,Environmental Preference,583,EXAM SUITE CORRIDOR
2,376,EAST ATRIUM,108,RESEARCH,,Student,0.2988505747126437,0.2241379310344827,0.4770114942528735,0.36,0.25,0.16,0.36,0.69,0.96,0.13,0.21,0.09,0.34,0.42,0.29,0.43,0.2,0.18,0.42,0.27,0.18,0.6,0.66,0.95,0.33,0.95,0.2,0.72,0.31,0.5529,0.4157,0.2962,Spatial Preference,235,ADMIN CORR.
2,377,EAST ATRIUM,250,ADL CLASS LAB,,Student,0.5897435897435898,0.1666666666666666,0.2435897435897435,0.16,0.67,0.55,0.46,0.31,0.65,0.62,0.69,0.26,0.95,0.45,0.55,0.68,0.15,0.03,0.76,0.05,0.28,0.33,0.17,0.21,0.43,0.27,0.19,0.98,0.91,0.2686,0.4886,0.4788,Environmental Preference,245,HUDDLE
2,378,ELEVATOR,34,CLASSROOM,,Student,0.3536585365853658,0.4329268292682926,0.2134146341463414,0.04,0.76,0.64,0.31,0.84,0.32,0.44,0.93,0.31,0.81,0.73,0.7,0.08,0.66,0.06,0.98,0.91,0.49,0.68,0.33,0.81,0.29,0.65,0.07,0.73,0.47,0.4743,0.4786,0.5412,Circulation Preference,514,ADMIN CORR.
2,379,EAST ATRIUM,259,CLASSROOM,,Student,0.1111111111111111,0.2745098039215686,0.6143790849673203,0.21,0.8,0.64,0.67,0.07,0.76,0.1,0.89,0.06,0.48,0.21,0.4,0.87,0.85,0.58,0.52,0.83,0.11,0.16,0.43,0.65,0.44,0.87,0.84,0.33,0.39,0.5,0.4643,0.4962,Spatial Preference,154,HUDDLE
2,380,AUDITORIUM,466,OPEN HUDDLE,,Student,0.5153846153846154,0.3538461538461538,0.1307692307692307,0.8,0.14,0.81,0.6,0.21,0.31,0.76,0.56,0.83,0.79,0.86,0.62,0.93,0.97,0.33,0.59,0.45,0.7,0.15,0.91,0.49,0.85,0.22,0.29,0.67,0.78,0.5157,0.5186,0.74,Environmental Preference,268,SEMINAR
